# cid2code.txt (Beta Version 2018-05-15)
#
# The data in this table contains four tab-delimited columns of
# information. The contents of this file supplement "The Adobe-KR-9
# Character Collection":
#
# https://github.com/adobe-type-tools/Adobe-KR/
#
# This table contains lists CIDs 0 through 22875 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded
# value. Here are some common aspects of the data that you will find
# in this table:
#
# o All character codes are provided in hexadecimal notation.
#
# o There are cases of multiple code points mapping to the same CID
#   within a single CMap resource. These cases are comma-delimited
#   within the same column.
#
# The following is a synopsis of columns 2 through 4, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "UniAKR-UTF8-H" CMap resource
#   (Unicode Version 10.0 UTF-8 encoding).
#
# o Column 3: Character codes for the "UniAKR-UTF16-H" CMap resource
#   (Unicode Version 10.0 UTF-16 encoding).
#
# o Column 4: Character codes for the "UniAKR-UTF32-H" CMap resource
#   (Unicode Version 10.0 UTF-32 encoding).
#
CID	UniAKR-UTF8	UniAKR-UTF16	UniAKR-UTF32
319	eab484	ad04	0000ad04
320	eab486	ad06	0000ad06
321	eab48c	ad0c	0000ad0c
322	eab48d	ad0d	0000ad0d
323	eab48f	ad0f	0000ad0f
324	eab490	ad10	0000ad10
325	eab491	ad11	0000ad11
326	eab492	ad12	0000ad12
327	eab498	ad18	0000ad18
328	eab49c	ad1c	0000ad1c
329	eab4a0	ad20	0000ad20
330	eab4a2	ad22	0000ad22
331	eab4a9	ad29	0000ad29
332	eab4ac	ad2c	0000ad2c
333	eab4ad	ad2d	0000ad2d
334	eab4b4	ad34	0000ad34
335	eab4b5	ad35	0000ad35
336	eab4b8	ad38	0000ad38
337	eab4bc	ad3c	0000ad3c
338	eab584	ad44	0000ad44
339	eab585	ad45	0000ad45
340	eab587	ad47	0000ad47
341	eab589	ad49	0000ad49
342	eab590	ad50	0000ad50
343	eab594	ad54	0000ad54
344	eab598	ad58	0000ad58
345	eab5a0	ad60	0000ad60
346	eab5a1	ad61	0000ad61
347	eab5a3	ad63	0000ad63
348	eab5a5	ad65	0000ad65
349	eab5ac	ad6c	0000ad6c
350	eab5ad	ad6d	0000ad6d
351	eab5b0	ad70	0000ad70
352	eab5b3	ad73	0000ad73
353	eab5b4	ad74	0000ad74
354	eab5b5	ad75	0000ad75
355	eab5b6	ad76	0000ad76
356	eab5bb	ad7b	0000ad7b
357	eab5bc	ad7c	0000ad7c
358	eab5bd	ad7d	0000ad7d
359	eab5bf	ad7f	0000ad7f
360	eab681	ad81	0000ad81
361	eab682	ad82	0000ad82
362	eab683	ad83	0000ad83
363	eab688	ad88	0000ad88
364	eab689	ad89	0000ad89
365	eab68c	ad8c	0000ad8c
366	eab690	ad90	0000ad90
367	eab69c	ad9c	0000ad9c
368	eab69d	ad9d	0000ad9d
369	eab6a4	ada4	0000ada4
370	eab6b7	adb7	0000adb7
371	eab6b8	adb8	0000adb8
372	eab780	adc0	0000adc0
373	eab781	adc1	0000adc1
374	eab784	adc4	0000adc4
375	eab788	adc8	0000adc8
376	eab790	add0	0000add0
377	eab791	add1	0000add1
378	eab793	add3	0000add3
379	eab795	add5	0000add5
380	eab79c	addc	0000addc
381	eab7a0	ade0	0000ade0
382	eab7a4	ade4	0000ade4
383	eab7ac	adec	0000adec
384	eab7ad	aded	0000aded
385	eab7b8	adf8	0000adf8
386	eab7b9	adf9	0000adf9
387	eab7bc	adfc	0000adfc
388	eab7bf	adff	0000adff
389	eab880	ae00	0000ae00
390	eab881	ae01	0000ae01
391	eab882	ae02	0000ae02
392	eab887	ae07	0000ae07
393	eab888	ae08	0000ae08
394	eab889	ae09	0000ae09
395	eab88b	ae0b	0000ae0b
396	eab88d	ae0d	0000ae0d
397	eab88f	ae0f	0000ae0f
398	eab891	ae11	0000ae11
399	eab893	ae13	0000ae13
400	eab894	ae14	0000ae14
401	eab898	ae18	0000ae18
402	eab8a9	ae29	0000ae29
403	eab8b0	ae30	0000ae30
404	eab8b1	ae31	0000ae31
405	eab8b4	ae34	0000ae34
406	eab8b7	ae37	0000ae37
407	eab8b8	ae38	0000ae38
408	eab8ba	ae3a	0000ae3a
409	eab980	ae40	0000ae40
410	eab981	ae41	0000ae41
411	eab983	ae43	0000ae43
412	eab984	ae44	0000ae44
413	eab985	ae45	0000ae45
414	eab986	ae46	0000ae46
415	eab98a	ae4a	0000ae4a
416	eab98c	ae4c	0000ae4c
417	eab98d	ae4d	0000ae4d
418	eab98e	ae4e	0000ae4e
419	eab990	ae50	0000ae50
420	eab994	ae54	0000ae54
421	eab996	ae56	0000ae56
422	eab99c	ae5c	0000ae5c
423	eab99d	ae5d	0000ae5d
424	eab99f	ae5f	0000ae5f
425	eab9a0	ae60	0000ae60
426	eab9a1	ae61	0000ae61
427	eab9a5	ae65	0000ae65
428	eab9a8	ae68	0000ae68
429	eab9a9	ae69	0000ae69
430	eab9ac	ae6c	0000ae6c
431	eab9af	ae6f	0000ae6f
432	eab9b0	ae70	0000ae70
433	eab9b8	ae78	0000ae78
434	eab9b9	ae79	0000ae79
435	eab9bb	ae7b	0000ae7b
436	eab9bc	ae7c	0000ae7c
437	eab9bd	ae7d	0000ae7d
438	eaba84	ae84	0000ae84
439	eaba85	ae85	0000ae85
440	eaba86	ae86	0000ae86
441	eaba8c	ae8c	0000ae8c
442	eaba8d	ae8d	0000ae8d
443	eabaa0	aea0	0000aea0
444	eabaa4	aea4	0000aea4
445	eababc	aebc	0000aebc
446	eababd	aebd	0000aebd
447	eababe	aebe	0000aebe
448	eabb80	aec0	0000aec0
449	eabb84	aec4	0000aec4
450	eabb8c	aecc	0000aecc
451	eabb8d	aecd	0000aecd
452	eabb8f	aecf	0000aecf
453	eabb90	aed0	0000aed0
454	eabb91	aed1	0000aed1
455	eabb93	aed3	0000aed3
456	eabb95	aed5	0000aed5
457	eabb98	aed8	0000aed8
458	eabb99	aed9	0000aed9
459	eabb9c	aedc	0000aedc
460	eabba8	aee8	0000aee8
461	eabbab	aeeb	0000aeeb
462	eabbad	aeed	0000aeed
463	eabbb4	aef4	0000aef4
464	eabbb8	aef8	0000aef8
465	eabbbc	aefc	0000aefc
466	eabc87	af07	0000af07
467	eabc88	af08	0000af08
468	eabc89	af09	0000af09
469	eabc8d	af0d	0000af0d
470	eabc90	af10	0000af10
471	eabcac	af2c	0000af2c
472	eabcad	af2d	0000af2d
473	eabcb0	af30	0000af30
474	eabcb2	af32	0000af32
475	eabcb3	af33	0000af33
476	eabcb4	af34	0000af34
477	eabcbc	af3c	0000af3c
478	eabcbd	af3d	0000af3d
479	eabcbf	af3f	0000af3f
480	eabd81	af41	0000af41
481	eabd82	af42	0000af42
482	eabd83	af43	0000af43
483	eabd85	af45	0000af45
484	eabd88	af48	0000af48
485	eabd89	af49	0000af49
486	eabd8c	af4c	0000af4c
487	eabd90	af50	0000af50
488	eabd9c	af5c	0000af5c
489	eabd9d	af5d	0000af5d
490	eabda4	af64	0000af64
491	eabda5	af65	0000af65
492	eabda8	af68	0000af68
493	eabdb8	af78	0000af78
494	eabdb9	af79	0000af79
495	eabe80	af80	0000af80
496	eabe84	af84	0000af84
497	eabe88	af88	0000af88
498	eabe90	af90	0000af90
499	eabe91	af91	0000af91
500	eabe95	af95	0000af95
501	eabe9c	af9c	0000af9c
502	eabeb8	afb8	0000afb8
503	eabeb9	afb9	0000afb9
504	eabebc	afbc	0000afbc
505	eabf80	afc0	0000afc0
506	eabf87	afc7	0000afc7
507	eabf88	afc8	0000afc8
508	eabf89	afc9	0000afc9
509	eabf8b	afcb	0000afcb
510	eabf8d	afcd	0000afcd
